DateTime;Load;PV;EV;P_loss;T_set
2021-01-01 00:00:00;0.0003685434479041;0.0;0.0;0.9270327137825563;15.5
2021-01-01 00:15:00;0.0003756897197471;0.0;0.0;0.920658205719164;15.5
2021-01-01 00:30:00;0.0003797733036573;0.0;0.0;0.8527875736500925;15.5
2021-01-01 00:45:00;0.0003777315117022;0.0;0.0;0.7915726675776952;15.5
2021-01-01 01:00:00;0.0003746688237695;0.0;0.0;0.7363431481969748;15.5
2021-01-01 01:15:00;0.0003736479277919;0.0;0.0;0.6864963318886939;15.5
2021-01-01 01:30:00;0.0003603762800834;0.0;0.0;0.6414903612911294;15.5
2021-01-01 01:45:00;0.0003501673203077;0.0;0.0;0.6222435758334172;15.5
2021-01-01 02:00:00;0.0003562926961731;0.0;0.0;1.07066932737361;15.5
2021-01-01 02:15:00;0.000354250904218;0.0;0.0;1.1203254608769746;15.5
2021-01-01 02:30:00;0.0003797733036573;0.0;0.0;1.045683584777749;15.5
2021-01-01 02:45:00;0.0003552718001956;0.0;0.0;0.9782765722382664;15.5
2021-01-01 03:00:00;0.0003348538806441;0.0;0.0;0.9173764369082141;15.5
2021-01-01 03:15:00;0.0003368956725992;0.0;0.0;0.8623286609693969;15.5
2021-01-01 03:30:00;0.0003552718001956;0.0;0.0;0.8125447789777214;15.5
2021-01-01 03:45:00;0.0003573135921508;0.0;0.0;0.7674957103300845;15.5
2021-01-01 04:00:00;0.0003593553841058;0.0;0.0;0.9700676363309926;16.3
2021-01-01 04:15:00;0.0003583344881284;0.0;0.0;1.1856289790449306;19.9
2021-01-01 04:30:00;0.0003430210484646;0.0;0.0;1.8281216472727928;21.5
2021-01-01 04:45:00;0.0003450628404199;0.0;0.0;2.4083238721881624;18.7
2021-01-01 05:00:00;0.000354250904218;0.0;0.0;2.380022054467404;15.5
2021-01-01 05:15:00;0.0003532300082404;0.0;0.0;2.2040021110150003;15.5
2021-01-01 05:30:00;0.0003450628404199;0.0;0.0;2.0447769436795924;15.5
2021-01-01 05:45:00;0.0003450628404199;0.0;0.0;1.954416240077175;18.3
2021-01-01 06:00:00;0.0003552718001956;0.0;0.0;2.3670773435529053;20.3
2021-01-01 06:15:00;0.0003593553841058;0.0;0.0;2.8858956185282914;21.5
2021-01-01 06:30:00;0.000347104632375;0.0;0.0;3.3852765353381766;18.7
2021-01-01 06:45:00;0.0003420001524871;0.0;0.0;3.2940205630527966;17.5
2021-01-01 07:00:00;5.512838278899198e-05;0.0;0.0;3.555973502468475;21.5
2021-01-01 07:15:00;3.634389680163177e-05;0.0096434961043409;0.0;3.4648413313617747;21.5
2021-01-01 07:30:00;3.828359915902225e-05;0.0193101683838009;0.0;3.200404489883283;21.5
2021-01-01 07:45:00;3.328120886890998e-05;0.0289768406632609;0.0;2.9619958399128374;21.5
2021-01-01 08:00:00;0.0003174986490254;0.0386435129427209;0.0;2.804685284374482;21.5
2021-01-01 08:15:00;0.0001980538196492;0.0439400676389166;0.0;3.155649541576658;21.5
2021-01-01 08:30:00;0.0001153612454657;0.0492246151431262;0.0;3.017410844024654;21.5
2021-01-01 08:45:00;8.98388460265055e-05;0.0545091626473358;0.0;2.8004664970489674;21.5
2021-01-01 09:00:00;7.187107682120436e-05;0.0597937101515454;0.0;2.582830446962683;21.5
2021-01-01 09:15:00;3.644598639938916e-05;0.0764471277719113;0.0;2.4056457317289017;21.5
2021-01-01 09:30:00;3.695643438817612e-05;0.0931356987927738;0.0;2.5201039250966546;21.5
2021-01-01 09:45:00;3.675225519266132e-05;0.1098242698136362;0.0;2.746947407520534;21.5
2021-01-01 10:00:00;3.665016559490395e-05;0.1265128408344986;0.0;2.4837043779293873;21.5
2021-01-01 10:15:00;5.921196669928769e-05;0.1083591520876736;0.0;2.303659573991601;21.5
2021-01-01 10:30:00;0.0001847821719407;0.0900857167727389;0.0;2.1458617202259016;21.5
2021-01-01 10:45:00;0.0001817194840081;0.0718122814578041;0.0;2.0034098489550227;21.5
2021-01-01 11:00:00;0.000174573212165;0.0535388461428693;0.0;2.001598734557588;21.5
2021-01-01 11:15:00;0.0001858030679183;0.097407560432661;0.0;2.322539056856311;21.5
2021-01-01 11:30:00;0.0001184239333985;0.1415112839978312;0.0;2.1639188783041714;21.5
2021-01-01 11:45:00;0.0001020895977573;0.1856150075630013;0.0;2.0110476389153247;21.5
2021-01-01 12:00:00;0.0001031104937347;0.2297187311281715;3000.0;1.8935132955284253;21.5
2021-01-01 12:15:00;0.0003021852093617;0.2211842195838922;1.0;1.769479824911054;21.5
2021-01-01 12:30:00;0.0002245971150661;0.2124324689631553;1.0;1.6561112170541523;21.5
2021-01-01 12:45:00;9.555586350091944e-05;0.2036807183424184;1.0;1.5750832242526327;21.5
2021-01-01 13:00:00;5.472002439796243e-05;0.1949289677216815;1.0;1.9754454016777234;21.5
2021-01-01 13:15:00;4.491942301325275e-05;0.1619302465823796;1.0;1.9941657954661014;21.5
2021-01-01 13:30:00;4.8186290141489294e-05;0.1288230814235564;1.0;1.8621171205324778;21.5
2021-01-01 13:45:00;5.145315726972588e-05;0.0957159162647334;1.0;1.742858010047497;21.5
2021-01-01 14:00:00;5.390330761590328e-05;0.0626087511059104;1.0;1.7031461812531354;21.5
2021-01-01 14:15:00;7.92215278597367e-05;0.0505458803048032;1.0;1.607399945144284;21.5
2021-01-01 14:30:00;5.472002439796243e-05;0.0385844045206768;1.0;1.5162842939093915;21.5
2021-01-01 14:45:00;0.0001715105242322;0.0266229287365506;1.0;1.4338114650442806;21.5
2021-01-01 15:00:00;7.799645268664792e-05;0.0146614529524244;1.0;1.6998863391261188;21.5
2021-01-01 15:15:00;6.043704187237642e-05;0.0109690630440366;1.0;2.003860501792752;21.5
2021-01-01 15:30:00;5.0636440487666735e-05;0.0073193755529552;1.0;1.8806840420940099;21.5
2021-01-01 15:45:00;0.000215409051268;0.0036696880618738;1.0;1.7693247090825936;21.5
2021-01-01 16:00:00;0.0002286806989764;2.000057079253281e-05;0.0;1.683108057898522;21.5
2021-01-01 16:15:00;0.0002439941386401;0.0;0.0;1.6006568417294267;21.5
2021-01-01 16:30:00;0.0001112776615554;0.0;0.0;1.5251769699073228;21.5
2021-01-01 16:45:00;0.000435293710501;0.0;0.0;1.456644923427597;21.5
2021-01-01 17:00:00;0.000174573212165;0.0;0.0;1.4157701001026306;21.5
2021-01-01 17:15:00;5.267823244281458e-05;0.0;0.0;1.8539380126079887;21.5
2021-01-01 17:30:00;7.595466073150014e-05;0.0;0.0;1.9048644594067279;21.5
2021-01-01 17:45:00;0.0002878926656757;0.0;0.0;1.801493760686009;21.5
2021-01-01 18:00:00;0.0003011643133842;0.0;0.0;1.7078643597242973;21.5
2021-01-01 18:15:00;0.0002736001219896;0.0;0.0;1.62299832734763;21.5
2021-01-01 18:30:00;0.0001296537891517;0.0;0.0;1.5460164095156623;21.5
2021-01-01 18:45:00;8.575526211620975e-05;0.0;0.0;1.4761280668633796;21.5
2021-01-01 19:00:00;7.799645268664792e-05;0.0;0.0;1.4126225197012936;21.5
2021-01-01 19:15:00;7.595466073150014e-05;0.0;0.0;1.4292999922118794;21.5
2021-01-01 19:30:00;7.554630234047053e-05;0.0;0.0;1.8625810662555287;21.5
2021-01-01 19:45:00;0.0001316955811069;0.0;0.0;1.8128223044172607;21.5
2021-01-01 20:00:00;0.0001163821414432;0.0;0.0;1.718334425874234;21.5
2021-01-01 20:15:00;0.0001623224604341;0.0;0.0;1.632694351698138;21.5
2021-01-01 20:30:00;0.0001613015644565;0.0;0.0;1.555014321797862;21.5
2021-01-01 20:45:00;0.0001133194535106;0.0;0.0;1.484496149267912;21.5
2021-01-01 21:00:00;8.861377085341673e-05;0.0;0.0;1.4319166257884521;19.5
2021-01-01 21:15:00;8.330511177003235e-05;0.0;0.0;1.3930117122373276;20.3
2021-01-01 21:30:00;0.0001408836449051;0.0;0.0;1.8022720257170537;21.5
2021-01-01 21:45:00;0.0001245493092639;0.0;0.0;1.8674674145060273;19.1
2021-01-01 22:00:00;6.533734256473125e-05;0.0;0.0;1.7768546647366403;15.5
2021-01-01 22:15:00;4.941136531457801e-05;0.0;0.0;1.6946252979922907;15.5
2021-01-01 22:30:00;4.7369573359430165e-05;0.0;0.0;1.6199390065790327;17.5
2021-01-01 22:45:00;4.900300692354844e-05;0.0;0.0;1.5520402614383626;21.5
2021-01-01 23:00:00;0.0002011165075819;0.0;0.0;1.4902497545078213;21.5
2021-01-01 23:15:00;8.98388460265055e-05;0.0;0.0;1.4339567049319406;18.3
2021-01-01 23:30:00;8.330511177003235e-05;0.0;0.0;1.382611941921911;15.5
2021-01-01 23:45:00;4.451106462222316e-05;0.0;0.0;1.3357216858650458;15.5
2021-01-02 00:00:00;3.256658168460824e-05;0.0;0.0;1.2928419571990164;15.5
2021-01-02 00:15:00;3.246449208685084e-05;0.0;0.0;1.2535735496810185;15.5
2021-01-02 00:30:00;3.256658168460824e-05;0.0;0.0;1.217557511078885;15.5
2021-01-02 00:45:00;3.338329846666737e-05;0.0;0.0;1.1844710800622997;15.5
2021-01-02 01:00:00;2.797254978552557e-05;0.0;0.0;1.1425295861816174;15.5
2021-01-02 01:15:00;3.16477753047917e-05;0.0;0.0;1.105816619101879;15.5
2021-01-02 01:30:00;4.206091427604574e-05;0.0;0.0;1.0726691109972628;15.5
2021-01-02 01:45:00;3.736479277920568e-05;0.0;0.0;1.0422556026795877;15.5
2021-01-02 02:00:00;2.297015949541333e-05;0.0;0.0;1.0257993307062332;15.5
2021-01-02 02:15:00;2.725792260122383e-05;0.0;0.0;1.0087118654315779;15.5
2021-01-02 02:30:00;2.7768370590010785e-05;0.0;0.0;0.9922023163505922;15.5
2021-01-02 02:45:00;2.9503893751886456e-05;0.0;0.0;0.9766939303292811;15.5
2021-01-02 03:00:00;2.9503893751886456e-05;0.0;0.0;0.962090834330901;15.5
